site_id,name,address,point_x,point_y,site_use,status_id,drain_acres,imp_percent,imp_acres,an_runoff,retro_type_id,bmp_type_ids,feasibility_id,dsgn_dfclt_id,wtrshd_bft_id,priority_id,source_ids
169,,,-76.54984978,39.31680067,,2,0,0,0,0,,,,,,,7
170,,,-76.53725143,39.3049701,,2,0,0,0,0,,,,,,,7
171,,,-76.5608377,39.32165686,,2,0,0,0,0,,,,,,,7
172,,,-76.67855661,39.38885689,,2,0,0,0,0,,,,,,,7
173,overlea hs,,-76.51341354,39.34916101,,2,0,0,0,0,,,,,,,7
174,overlea hs,,-76.51323543,39.34934903,,2,0,0,0,0,,,,,,,7
175,bel mar park,,-76.52702584,39.35112378,,2,0,0,0,0,,,,,,,7
176,bel mar park,,-76.52706842,39.35229831,,2,0,0,0,0,,,,,,,7
177,,,-76.57782972,39.36875954,,2,0,0,0,0,,,,,,,7
178,,,-76.58104881,39.36351466,,2,0,0,0,0,,,,,,,7
179,,,-76.57286818,39.33167103,,2,0,0,0,0,,,,,,,7
180,,,-76.55618619,39.32105397,,2,0,0,0,0,,,,,,,7
181,,,-76.58801996,39.35213836,,2,0,0,0,0,,,,,,,7
182,,,-76.54089196,39.36685883,,2,0,0,0,0,,,,,,,7
183,,,-76.70510994,39.36234067,,2,0,0,0,0,,,,,,,7
184,,,-76.65832643,39.35369973,,2,0,0,0,0,,,,,,,7
185,,,-76.70422022,39.40053123,,2,0,0,0,0,,,,,,,7
186,,,-76.57267878,39.36309322,,2,0,0,0,0,,,,,,,7
187,,,-76.56993363,39.36572787,,2,0,0,0,0,,,,,,,7
188,,,-76.65589308,39.34740074,,2,0,0,0,0,,,,,,,7
189,,,-76.66307119,39.34422307,,2,0,0,0,0,,,,,,,7
190,,,-76.60698129,39.3218503,,2,0,0,0,0,,,,,,,7
191,,,-76.56244928,39.32382697,,2,0,0,0,0,,,,,,,7
192,,,-76.58565519,39.32809598,,2,0,0,0,0,,,,,,,7
193,,,-76.64354035,39.34823221,,2,0,0,0,0,,,,,,,7
194,,,-76.59764856,39.35833163,,2,0,0,0,0,,,,,,,7
195,,,-76.59803676,39.36321266,,2,0,0,0,0,,,,,,,7
196,,,-76.58026133,39.28907702,,2,0,0,0,0,,,,,,,7
197,,,-76.58228496,39.32223161,,2,0,0,0,0,,,,,,,7
198,,,-76.55197876,39.31668027,,2,0,0,0,0,,,,,,,7
199,,,-76.54943722,39.31515701,,2,0,0,0,0,,,,,,,7
200,western high school,,-76.64362184,39.34737555,,2,0,0,0,0,,,,,,,7
201,baltimore polytechnic institute high school,,-76.64476386,39.35142641,,2,0,0,0,0,,,,,,,7
202,fullerton elementary,,-76.51855986,39.36068261,,2,0,0,0,0,,,,,,,7
203,overlea hs,,-76.51089544,39.35054054,,2,0,0,0,0,,,,,,,7
204,bel mar park,,-76.52640384,39.3506437,,2,0,0,0,0,,,,,,,7
