community_statistical_area_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205
Cross-Country/Cheswolde,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$54,868",19.2986,16.0512,18.6305,12.2843,33.74,,9.1303,12.173012," $ 165,000 ",35,117,82.3,0.8544,0.2,,6.0 ,"2,926",49.4382,1.123595506,,0.34,0.68,,43.7688,42.9045,0.3417634997,436.0902256,63.56801094,1.59833,14.5773,,0.537057,13.9635,,,,,NA,,NA,NA,NA,,,,206,113,147,,75.97,10.73,8.15,9.2233,9.7345,27.8912,,,,,,60.71,61.29,36.00,76.00,45.45,84.85,70.27027027,71.42857143,78.125,43.47826087,2.040816327,87.87878788,,4.537205082,,,,96.74074074,6.651884701,95.32,96.32107023,58.52842809,140,0.0,,1.01047,,,0,,,,,89.6,7.7,0.7,4.4,2.6,43.5,163.2,641.6,,,,,,,130.4281111,0.1534448366,0.230167255,0.6138,14,,66.8937,6.15804,26.9482,8.42969,4.33,39.95,55.72,24,0,245,1093,236,58.41676368,,,0,6.12245,9.38776,51.8367,,,,,153,11.7385,562,85.61455469,46.04645416,3.60595366,1.227558693,72.449,11.9702,12.2057,2.90424,20.2119,39.6586,24.7449,15.3846,,,,0,,,,,,,61.7925,32.5849,11.8204,,0.03417634997,,,,,,,,0.470958,201,108,139,,11,25.06450424,1.074113856,25,0,659,1.375079331
Dickeyville/Franklintown,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$32,768",41.17,13.4658,22.2406,8.4989,14.62,,21.8434,31.328807," $ 227,550 ",126,10,66.9,1.2384,2.2,,5.3 ,323,33.3333,0,,0.00,3.10,,26.5193,49.653,12.38390093,448.9164087,49.53560372,1.89938,29.2612,,7.80297,21.2143,,,,,NA,,NA,NA,NA,,,,245,97,119,,96.75,1.08,1.74,17.5510,16.4948,45.3782,,,,,,46.88,70.00,50.00,79.55,38.24,52.94,44.44444444,54.54545455,54.54545455,39.39393939,3.361344538,65.2173913,,6.715063521,,,,89.92248062,28.16901408,90.63,87.5,54.6875,100,0.0,,5.80808,,,0,,,,,73.3,17.1,2.4,3.1,23.3,106.9,442.3,1395.3,,,,,,,190.4413558,0.4876859303,0.975371861,0.2438,3,,65.552,4.02901,29.9758,5.79039,13.86,61.88,24.26,30,23.33333333,40,264,37,57.87203451,,,0,2.5,15,45,,,,,16,3.90149,78,68.52589641,32.75193798,3.901487442,1.706900756,66.1529,10.7275,19.2355,1.84957,11.5906,39.0259,24.5993,24.7842,,,,2,,,,,,,69.5916,24.8896,38.7417,,0.3095975232,,,,,,,,2.03453,230,91,120,,,143.2176656,0.7315288954,6,0,235,28.55245684
Dorchester/Ashburton,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$36,870",31.1468,22.8483,16.1347,5.63504,24.24,,18.3824,32.493516," $ 86,250 ",40,148,67.2,3.2145,3.1,,3.0 ,"3,422",52.8571,3.571428571,,1.17,0.88,,50.3777,61.5077,0,612.7995324,84.74576271,7.81250,56.4229,,12.6421,42.7626,,,,,NA,0.593925,NA,NA,NA,,,,637,330,518,,97.44,0.67,1.21,15.8556,16.6667,32.6255,,,,,,40.68,56.73,43.75,71.43,29.55,62.92,52.13675214,56.33802817,61.11111111,40.17094017,1.158301158,85.38461538,,8.826945412,,,,95.74468085,16.43192488,85.04,88.18897638,52.75590551,133,4.5,,7.42647,,,0.1696928559,,,,,73.9,8.1,4.2,24.5,28.9,111.4,350.3,1314.9,,,,,,,292.9747158,0.4242321398,1.187849992,0.0848,6,,54.3324,13.9918,31.6758,20.4786,19.22,65.24,15.54,117,5.128205128,202,1480,190,51.70964126,,,0,9.90099,21.7822,46.5347,,,,,133,11.2846,784,79.703399,42.40119517,28.93263194,2.375699983,66.1672,10.1982,21.8463,1.64331,17.8105,42.0493,18.5355,21.6046,,,,3,,,,,,,74.9285,16.1347,28.5714,,0.05844535359,,,,,,,,0.144998,611,322,500,,153,131.8022966,0.1696928559,21,0,1095,28.25286859
Downtown/Seton Hill,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$44,819",31.9436,13.4273,22.0242,7.64807,24.96,,15.8482,39.751553," $ 235,250 ",88,34,37.6,2.4745,10.2,,3.3 ,687,15.7895,0,,2.91,1.46,,50.2347,49.5809,50.94614265,228.5298399,7.278020378,1.78285,243.252,,58.7962,179.957,,,,,NA,0.31027,NA,NA,NA,,,,116,50,77,,83.95,7.82,2.88,7.7586,16.0000,45.4545,,,,,,44.00,52.00,42.86,57.14,44.44,66.67,45.45454545,54.54545455,33.33333333,50,0,91.30434783,,10.76388889,,,,89.02953586,43.47826087,95.18,96.38554217,38.55421687,94,0.0,,10.4911,,,7.291343469,,,,,67.5,12.2,20.7,5.7,13.5,177.8,584.5,1307.7,,,,,,,446.9438411,16.90971145,14.58268694,8.3773,517,,61.7037,3.82602,34.2177,5.83861,9.75,26.28,63.98,1223,24.93867539,2928,91065,2729,44.12219644,,,3.25783,5.60109,12.944,39.4809,,,,,2167,336.177,62996,54.71411705,27.25030826,41.11076637,6.981073534,42.8052,4.60467,16.3587,32.8688,32.263,42.1993,15.359,10.1787,,,,6,,,,,,,26.452,70.6153,37.6078,,0,,,,,,,,3.36262,109,47,77,,21,78.54703508,18.92646603,1467,39,78077,241.5247091
Edmondson Village,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$36,648",32.4206,21.6362,21.3996,7.6403,16.90,,21.1009,51.859504," $ 55,000 ",39,87,64.5,2.5080,3.7,,2.0 ,"2,831",51.8519,3.703703704,,0.00,0.00,,49.661,61.2489,0,465.2066408,97.84528435,9.17317,38.8608,,8.60759,29.7468,,,,,NA,0.759494,NA,NA,NA,,,,448,284,474,,98.84,0.50,0.50,11.6071,9.1549,36.7089,,,,,,50.65,55.26,33.33,73.08,35.63,48.28,45.53571429,56.36363636,51.80722892,27.72277228,1.898734177,79.2,,7.881417209,,,,96.58314351,24.69135802,83.16,86.31578947,51.57894737,182,0.0,,11.1111,,,0.1265822785,,,,,72.4,13.6,0.0,9.5,30.4,124.9,384.4,1661.8,,,,,,,453.0379747,0.5063291139,0.506329114,0.2532,9,,61.6771,15.4326,22.8903,20.0139,18.8,73.15,8.04,33,9.090909091,54,397,51,54.14551607,,,0,3.7037,11.1111,33.3333,,,,,39,4.93671,228,92.78742763,38.77696559,31.7721519,1.518987342,51.1532,13.838,32.4069,1.74453,9.07747,35.0384,30.5441,25.34,,,,1,,,,,,,59.8377,22.1433,30.6626,,1.130342635,,,,,,,,0.857481,434,275,464,,24,184.5730028,0.253164557,9,0,229,25.3101737
Fells Point,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$77,433",14.8569,8.91414,12.0821,12.6284,51.52,,3.5098,12.659698," $ 249,000 ",33,241,51.4,0.9766,0.8,,4.8 ,"4,096",21.7877,0,,0.98,0.73,,27.7702,34.5469,42.96875,274.9023438,33.69140625,4.04800,71.0256,,13.4971,56.9753,,,,,NA,,NA,NA,NA,,,,207,73,94,,24.60,25.13,45.72,7.7295,17.8082,32.9787,,,,,,77.78,83.33,80.00,88.46,47.37,70.59,66.66666667,63.63636364,75,26.66666667,3.191489362,83.33333333,,3.744493392,,,,86.7768595,33.33333333,94.48,97.93103448,56.55172414,156,0.0,,1.09321,,,4.425268282,,,,,78.2,4.1,0.0,7.1,6.4,71.5,339.4,1377.8,,,,,,,291.9570749,2.765792676,1.991370727,1.5488,99,,81.9372,4.53388,13.5289,5.24324,9.93,24.7,65.37,516,13.95348837,561,7678,528,45.05946935,,,0.442527,6.95187,14.4385,42.959,,,,,385,42.5932,5110,79.31372549,34.3170581,48.78858281,6.306007302,64.8424,8.17832,7.60953,16.6334,22.0292,43.5972,18.8317,15.5419,,,,2,,,,,,,51.2344,44.09,12.8468,,0,,,,,,,,2.73636,202,69,95,,18,12.78079009,4.425268282,733,4,7141,23.52941176
Forest Park/Walbrook,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$37,161",36.4486,16.3976,21.3537,3.34183,22.46,,20.4582,44.048272," $ 65,500 ",49,129,56.4,3.5429,6.0,,3.6 ,"2,879",58.8235,1.960784314,,0.00,0.69,,38.9972,58.2241,0,496.7002431,61.82702327,11.68719,49.9543,,11.7778,37.7703,,,,,NA,0.406133,NA,NA,NA,,,,615,331,469,,97.67,0.78,1.27,13.9837,14.1994,38.1663,,,,,,50.86,59.79,53.51,82.46,32.26,56.99,52.94117647,60.6557377,61.95652174,29.21348315,0.8528784648,82.35294118,,7.405140759,,,,78.20163488,34.57446809,85.50,83.96946565,45.03816794,111,4.5,,10.8151,,,0.4061326023,,,,,74.7,10.2,1.2,12.2,21.8,106.3,340.6,1396.2,,,,,,,411.5138593,0.710732054,0.203066301,0.4061,15,,57.0506,7.4991,35.4503,11.6176,14.28,67.42,18.31,52,5.769230769,155,705,153,53.69785082,,,0,7.74194,15.4839,47.7419,,,,,114,11.5748,548,82.89593942,36.73019373,35.23200325,3.858259722,61.8316,12.1998,21.7099,1.79315,8.29331,43.2277,27.8258,20.6532,,,,2,,,,,,,79.2693,12.6593,30.5579,,0.06946856547,,,,,,,,2.46558,596,324,464,,192,209.7735399,0.5076657529,17,0,432,24.80741611
Glen-Fallstaff,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$39,694",34.0156,16.4045,17.0918,8.72155,23.77,,16.8759,21.026895," $ 87,500 ",47,138,73.7,1.9898,1.1,,2.2 ,"3,719",42.3529,1.176470588,,0.81,1.34,,48.0458,46.7638,0,580.8012907,87.92686206,4.94597,51.8305,,11.3316,39.8284,,,,,NA,0.134102,NA,NA,NA,,,,651,364,468,,83.14,4.52,10.59,11.2135,12.6374,32.0513,,,,,,47.79,57.26,47.20,79.20,43.30,66.67,49.19354839,62.60869565,69.56521739,42.10526316,1.068376068,83.17757009,,6.682297773,,,,84.90284006,40,90.00,92,42.5,143,0.0,,3.90516,,,0.4693576505,,,,,82.5,9.8,1.6,4.0,16.8,55.9,217.4,942.4,,,,,,,272.6297439,0.06705109293,0.268204372,0.4694,99,,63.0732,11.4146,25.5122,15.3242,18.48,56.74,24.78,334,8.982035928,719,13622,675,54.2282673,,,0.335255,6.39777,12.5174,33.6579,,,,,462,30.9776,9123,78.97180193,40.65969954,16.62867105,2.078583881,58.6439,11.8246,23.739,5.23874,18.8445,35.339,27.3163,18.5002,,,,2,,,,,,,66.9314,25.8286,26.1188,,0.05377789728,,,,,,,,0.553809,614,348,449,,14,199.4169096,1.475124045,220,1,6937,22.35213205
Greater Charles Village/Barclay,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$30,845",44.2988,15.061,17.8354,4.96951,17.84,,25.7611,42.432619," $ 189,900 ",41,177,43.2,1.3312,5.7,,2.9 ,"3,681",36.076,2.53164557,,2.72,0.00,,39.5756,51.4041,16.57158381,325.4550394,22.8198859,5.43603,68.8183,,16.6555,51.5527,,,,,NA,0.244036,NA,NA,NA,,,,383,188,277,,83.84,8.25,4.83,14.0992,16.4894,35.7401,,,,,,52.17,64.15,50.00,69.09,42.31,61.54,48.14814815,58.73015873,76.08695652,32.60869565,2.166064982,82.85714286,,7.71484375,,,,99.1656237,6.782945736,86.78,89.25619835,46.28099174,151,0.0,,9.36768,,,1.098163626,,,,,74.7,12.4,3.9,2.4,11.5,131.5,378.1,1018.0,,,,,,,297.4803246,2.135318162,2.928436337,1.6472,337,,49.4254,6.96921,43.5391,12.3579,12.88,40.23,46.88,610,14.75409836,904,7602,868,63.14428393,,,0.244036,5.97345,14.1593,39.6018,,,,,667,40.6931,5262,52.96269203,35.02009041,52.83387225,0.854127265,46.0642,5.75235,21.3291,20.9961,34.2567,31.9709,21.2231,12.5492,,,,37,,,,,,,59.0396,28.003,42.1646,,0.05433306167,,,,,,,,5.85831,376,177,270,,150,68.71141207,3.41650906,707,6,12220,34.9138791
Greater Govans,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$36,531",35.3694,18.9522,17.4795,10.5022,17.70,,19.2023,31.414674," $ 50,600 ",44,100,59.2,2.4926,4.9,,2.6 ,"3,731",66.055,4.587155963,,0.80,0.80,,42,50.7448,0,506.5666041,81.74752077,11.09219,39.8839,,8.98792,30.6151,,,,,NA,0.374497,NA,NA,NA,,,,687,385,537,,96.89,1.62,1.06,10.0437,10.3896,35.7542,,,,,,47.41,49.59,40.19,78.30,23.68,50.00,48.41269841,47.36842105,56.09756098,35.18518519,2.048417132,86.17886179,,8.643326039,,,,78.91737892,56.09756098,91.72,89.17197452,43.94904459,63,0.0,,9.78618,,,0.2808725775,,,,,73.3,10.1,0.0,11.7,30.7,116.6,371.9,1518.2,,,,,,,379.1779796,0.37449677,1.217114502,0.1872,10,,57.7262,10.5719,31.7019,15.4791,19.23,63.34,17.43,120,4.166666667,174,1048,165,49.24874791,,,0,8.04598,17.8161,45.977,,,,,122,11.4222,586,85.61694747,37.24497178,40.63289954,2.527853197,56.2591,9.15901,26.3412,4.83325,15.5631,34.5578,23.7554,26.1237,,,,11,,,,,,,60.7195,27.0159,29.4061,,0.1876172608,,,,,,,,3.40744,665,364,512,,39,199.1062562,0.6553693474,26,5,642,58.72150644
Greater Mondawmin,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$38,655",34.3201,17.3064,17.3715,10.7677,20.23,,14.5545,30.517711," $ 40,500 ",33,67,50.0,1.6260,12.0,,1.8 ,"3,444",68.1159,1.449275362,,0.00,0.87,,31.1927,63.4806,0,293.2636469,45.58652729,17.20578,102.875,,27.3546,74.233,,,,,NA,0.214546,NA,NA,NA,,,,578,277,470,,98.11,0.83,0.68,12.2837,17.3285,34.6809,,,,,,44.34,56.44,52.38,79.05,23.17,51.22,49.19354839,59.83606557,55.67010309,30.09708738,1.063829787,88.39285714,,8.881789137,,,,85.53259141,16.10017889,86.61,85.71428571,42.85714286,96,0.0,,13.337,,,0.4290924694,,,,,71.7,13.4,1.4,9.7,39.1,146.4,382.0,1222.2,,,,,,,360.8667668,0.8581849389,1.072731174,0.4291,15,,49.0454,12.7551,38.1995,20.6391,18.77,67.49,13.73,140,15.71428571,221,2612,206,59.72289742,,,0.321819,7.69231,14.4796,39.819,,,,,148,15.8764,1265,83.96406207,35.42477302,65.97296717,4.934563398,62.069,9.63584,25.5559,2.22365,13.3742,42.3783,22.8811,21.3664,,,,7,,,,,,,64.4112,25.4717,33.4092,,0.05807200929,,,,,,,,0.51563,558,267,454,,182,250.4943968,0.9654580562,37,0,4692,84.39967329
Greater Roland Park/Poplar Hill,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$104,482",11.4387,6.45637,9.64033,11.645,60.82,,2.5824,5.345061," $ 310,000 ",36,157,75.4,0.2316,0.1,,4.5 ,"3,023",34.1463,0,,0.33,1.32,,33.8462,43.5417,7.277538869,406.2189878,18.52464439,2.97003,28.1957,,2.1689,26.0268,,,,,NA,,NA,NA,NA,,,,241,109,76,,21.36,62.68,3.76,0.4149,3.6697,5.2632,,,,,,96.97,95.00,90.91,97.73,88.89,94.29,91.30434783,95,100,100,0,88.88888889,,1.680672269,,,,100,0,96.36,100,65.45454545,99,0.0,,0.0549451,,,0.2711129185,,,,,83.8,3.4,0.0,0.0,4.3,33.2,218.1,1390.2,,,,,,,467.1275586,0.5422258371,2.440016267,1.6267,53,,76.81,2.65831,20.5317,3.34512,1.14,19.86,79,115,23.47826087,375,3748,349,42.77456647,,,0.677782,5.86667,10.6667,33.8667,,,,,272,36.8714,2282,88.63066377,57.49858517,12.20008133,10.16673444,79.9252,6.65597,7.35098,3.66212,22.9083,47.0195,18.872,11.2002,,,,0,,,,,,,62.7948,20.2241,4.36321,,0,,,,,,,,2.40577,224,104,79,,46,5.931198102,4.066693778,97,0,3923,3.343922421
Greater Rosemont,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$30,865",40.064,22.0799,16.147,9.23647,12.47,,21.7064,43.141737," $ 20,000 ",54,145,45.4,2.2431,16.3,,1.1 ,"7,133",88.7574,2.958579882,,3.36,0.70,,51.0341,58.8093,0,225.4310949,50.75003505,15.27910,63.0355,,18.4849,43.3564,,,,,NA,0.41539,NA,NA,NA,,,,1410,725,1038,,98.24,0.66,0.91,14.2553,14.8966,43.9306,,,,,,36.82,51.15,32.20,65.27,27.19,50.69,48,56.0483871,44.14893617,26.36363636,2.601156069,79.04761905,,9.793814433,,,,71.88378632,44.7761194,83.82,85.66176471,44.11764706,115,5.2,,20.9849,,,0.9346279661,,,,,70.2,13.3,1.6,15.0,47.0,146.2,422.5,1236.7,,,,,,,399.449608,1.194246846,0.571161535,0.0519,6,,50.6338,14.4573,34.909,22.2108,25.79,64.38,9.84,310,8.064516129,320,2142,299,56.3042028,,,0.0519238,13.4375,23.125,43.125,,,,,225,11.6828,1007,83.65438695,32.71703504,76.12025546,3.998130744,55.3275,8.21049,31.3678,3.48946,11.2334,33.8683,27.7664,27.1319,,,,5,,,,,,,77.5999,13.4165,41.2776,,0.2243095472,,,,,,,,1.60478,1372,714,1031,,92,245.4136379,0.2076951036,27,4,1565,56.80539933
Greenmount East,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$23,277",53.01,17.7503,14.9639,4.47196,9.80,,27.6944,29.608586," $ 30,000 ",72,118,28.0,1.1252,32.8,,1.7 ,"4,088",58.3333,3.125,,8.56,0.24,,49.5161,55.3478,1.467710372,104.2074364,13.69863014,17.52981,66.4712,,19.5503,46.1877,,,,,NA,0.244379,NA,NA,NA,,,,581,285,484,,98.59,0.59,0.44,19.2771,18.2456,46.9008,,,,,,36.21,46.46,24.44,61.11,23.88,44.78,37.27272727,43.26923077,48.35164835,33.03571429,3.512396694,71.28712871,,12.32961586,,,,73.3974359,90.90909091,85.23,84.56375839,40.26845638,229,4.8,,23.9427,,,1.588465298,,,,,67.8,19.9,3.9,9.1,45.0,173.6,447.5,1546.2,,,,,,,430.5962854,1.955034213,0.855327468,0.1222,20,,42.9816,18.5133,38.5052,30.1054,26.13,67.78,6.08,186,3.76344086,149,1041,143,58.36177474,,,0,4.02685,9.39597,26.8456,,,,,116,14.174,615,86.49312377,30.83475298,125.4887586,5.620723363,38.7784,9.375,39.678,9.75379,12.642,38.447,19.7443,29.1667,,,,136,,,,,,,57.2755,32.7829,57.8259,,2.201565558,,,,,,,,2.41477,570,281,481,,11,158.3869082,0.1221896383,20,5,621,81.85985593
Hamilton,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$63,986",19.3586,14.5578,12.8863,12.0311,41.17,,8.5291,13.891532," $ 106,000 ",45,203,76.4,3.2768,0.9,,2.8 ,"4,364",35.8696,1.630434783,,0.46,1.15,,41.3255,53.7069,0,609.3033914,80.659945,6.02929,50.1461,,9.46008,39.9169,,,,,NA,0.0769112,NA,NA,NA,,,,602,395,497,,85.94,10.44,1.87,13.7874,11.8987,28.5714,,,,,,58.16,60.64,53.06,77.55,35.43,65.35,64.61538462,67.71653543,67.67676768,40.42553191,1.207243461,80.18018018,,6.36682243,,,,98.39901478,18.94736842,87.76,89.11564626,45.57823129,248,0.0,,3.31509,,,0.538378711,,,,,74.9,8.3,2.7,10.4,17.2,89.3,415.7,1402.3,,,,,,,300.0307645,0.2307337333,0.076911244,0.3846,8,,75.4272,7.24638,17.3264,8.76505,11.33,63.92,24.75,193,8.808290155,260,1784,248,57.64158262,,,0.230734,4.23077,10.7692,35,,,,,183,14.0748,1109,81.35542169,41.15759595,25.38071066,2.538071066,77.0032,10.6017,10.2256,1.64883,8.76482,39.8322,30.3298,21.0732,,,,0,,,,,,,77.7454,11.8367,13.7415,,0.04582951421,,,,,,,,0.520683,582,389,486,,4,172.4137931,0.7691124442,19,1,1455,14.75903614
Harbor East/Little Italy,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$36,579",38.2684,12.8571,11.645,3.07359,34.16,,39.6364,56.841282," $ 298,000 ",55,99,36.9,1.6490,1.9,,3.8 ,"1,698",44.0678,0,,2.36,0.00,,33.4,44.7923,18.25677267,163.7220259,21.79034158,3.80214,159.423,,28.1117,129.462,,,,,NA,,NA,NA,NA,,,,359,182,192,,95.77,1.64,1.91,15.0418,10.9890,46.8750,,,,,,29.33,47.14,34.55,75.93,26.00,55.10,41.66666667,54.76190476,46.66666667,18.18181818,0.5208333333,64.70588235,,9.662398137,,,,74.48559671,28.16901408,82.95,84.09090909,46.59090909,52,0.0,,15.3636,,,2.774181616,,,,,72.3,20.5,0.0,20.2,18.9,125.0,396.3,1235.3,,,,,,,437.0260773,3.32901794,1.109672647,2.4043,95,,60.6341,10.3659,29,14.5998,25.15,40.02,34.83,481,9.355509356,458,40612,422,67.71180787,,,0.924727,5.8952,16.1572,40.8297,,,,,300,55.4836,4905,75.31014352,28.19767442,24.41279822,2.034399852,33.2906,6.5812,26.5812,29.7009,35.3419,27.0513,16.1538,21.453,,,,3,,,,,,,46.8831,42.1645,42.7273,,0.05889281508,,,,,,,,3.84615,347,179,183,,4,49.96989765,5.918254115,343,4,8097,90.73218195
Harford/Echodale,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$54,086",22.6271,15.1484,17.0732,13.1208,32.03,,10.9625,22.121776," $ 123,999 ",47,269,78.1,2.6931,1.0,,2.5 ,"5,050",30.9524,4.365079365,,0.99,0.20,,37.0023,46.4599,0,625.7425743,78.61386139,5.90003,44.2425,,8.78912,34.5626,,,,,NA,0.118772,NA,NA,NA,,,,797,430,571,,84.65,11.07,3.39,10.6650,12.0930,25.9194,,,,,,58.67,68.38,50.00,74.63,38.93,61.07,58.92857143,63.90977444,70.65217391,35.29411765,0.8756567426,83.21167883,,5.796395519,,,,88.3910387,23.76237624,86.39,89.0052356,56.02094241,404,0.0,,3.96014,,,0.6532454421,,,,,75.8,2.7,3.3,10.6,17.8,86.9,361.2,1606.8,,,,,,,250.9650217,0.1781578479,0.059385949,0.6532,29,,73.679,6.51766,19.553,8.12709,11.97,62.89,25.14,187,16.04278075,329,2890,308,59.76058932,,,0.118772,5.16717,11.8541,40.1216,,,,,213,12.6492,1345,80.23587451,40.58026708,14.84648732,2.137894174,79.3398,8.39658,9.0471,1.14444,10.3963,40.73,27.4907,21.383,,,,5,,,,,,,72.0981,19.0567,13.4146,,0.0396039604,,,,,,,,2.07204,760,413,559,,78,120.4379562,1.128333036,76,0,2353,25.7457797
Highlandtown,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$71,660",20.4216,11.0132,11.4223,9.18817,47.95,,12.5090,42.554923," $ 265,000 ",41,237,58.3,1.2457,1.2,,6.0 ,"3,211",21.6981,0,,0.93,8.41,,27.3983,45.0397,22.42292121,367.1753348,51.69729056,6.67788,88.8276,,20.8276,67.0345,,,,,NA,0.275862,NA,NA,NA,,,,316,126,148,,20.85,21.86,54.24,12.6582,17.4603,39.8649,,,,,,48.44,36.59,65.85,80.00,39.53,63.41,40.74074074,70.96774194,48.48484848,29.16666667,3.378378378,73.91304348,,4.700854701,,,,84.09090909,43.10344828,88.55,90.96385542,50.60240964,235,0.0,,3.2538,,,4.827586207,,,,,74.0,10.7,0.0,11.3,10.6,119.7,373.2,1372.9,,,,,,,407.1724138,2.068965517,0.551724138,0.9655,40,,76.334,4.41788,18.659,5.47093,19.45,38.81,41.74,364,12.63736264,376,2802,363,64.85067279,,,0.689655,5.05319,11.1702,33.2447,,,,,260,35.8621,1785,76.80553322,36.81675393,116.9655172,2.344827586,69.8761,11.7551,9.44146,5.53868,19.771,40.6403,19.5139,20.0748,,,,1,,,,,,,63.4361,27.5016,19.7294,,0,,,,,,,,3.38864,288,116,140,,50,66.13756614,2.620689655,128,1,3315,66.59160367
Howard Park/West Arlington,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$39,468",31.2206,19.8316,17.1082,9.40827,22.43,,18.0091,35.505246," $ 70,000 ",34,109,72.3,3.4242,2.4,,3.4 ,"3,154",44.1176,1.960784314,,0.63,1.59,,50.8133,63.9634,0,577.3620799,88.77615726,9.57573,45.3417,,7.81753,36.5125,,,,,NA,0.183942,NA,NA,NA,,,,500,263,412,,96.51,0.51,1.87,10.4000,10.2662,32.0388,,,,,,48.94,50.70,40.26,80.52,36.36,62.07,48.88888889,61.36363636,65.67164179,26.47058824,0.7281553398,79.16666667,,8.431952663,,,,84.74114441,64.42577031,86.15,86.92307692,42.30769231,,,,4.58488,,,0.1839418744,,,,,76.0,5.7,1.2,8.2,24.7,98.6,340.3,1369.6,,,,,,,223.3974064,0.3678837487,0.091970937,0.092,2,,60.3909,10.7415,28.8677,15.1007,20.05,63.87,16.08,151,8.609271523,238,3053,214,59.58156028,,,0.183942,8.82353,16.8067,42.0168,,,,,149,13.7037,2192,79.31114461,44.42169908,22.2569668,4.506575922,75.7372,7.55215,13.0904,3.38048,13.1383,33.5411,30.5203,22.8003,,,,13,,,,,,,65.5113,24.1396,15.8207,,0.0634115409,,,,,,,,0.239751,476,254,394,,184,149.7710922,0.2759128116,29,0,14374,13.56836368
Inner Harbor/Federal Hill,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$88,854",19.8633,6.05923,11.0402,7.21336,55.82,,5.3478,9.238777," $ 320,000 ",28,373,59.0,0.8845,0.6,,4.8 ,"5,992",22.069,0.6896551724,,1.00,2.50,,31.1187,46.201,16.35514019,287.7169559,30.37383178,2.91425,79.2688,,10.424,68.3781,,,,,NA,,NA,NA,NA,,,,237,90,83,,44.88,45.61,4.63,13.0802,15.5556,30.1205,,,,,,72.09,77.27,70.00,87.50,46.43,57.14,66.66666667,79.16666667,63.15789474,42.85714286,3.614457831,70.58823529,,5.31496063,,,,100,10,87.63,94.62365591,64.51612903,207,0.0,,1.64547,,,2.489303773,,,,,78.9,5.6,0.0,3.3,4.3,82.0,326.7,1311.3,,,,,,,380.941268,12.60210035,1.478024115,2.1004,1073,,77.523,5.12279,17.0472,6.19849,8.79,23.94,67.27,484,21.90082645,837,16395,755,66.45727631,,,0.466744,7.28793,12.5448,39.9044,,,,,593,46.1299,10750,84.97378148,39.93930197,40.91793077,3.033838973,71.288,5.36673,5.62228,16.5346,22.0164,43.7516,23.6775,10.5546,,,,4,,,,,,,47.5475,47.9727,14.776,,0,,,,,,,,1.18835,230,87,83,,68,59.51417004,5.289770517,1826,2,14078,25.96062924
